	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S8S8	-0.431867612	-2.143598786	-0.057045072	-0.304147012	-0.08150403	0.112205802	-68.81527094	-0.115427847	313	393	307	331	305	116	144	169	0.529942993								
S4S8	1.681388915	-4.605170186	-0.046815426	-0.071913066	0.02120844	0.200492611	-69.77701149	-0.486520494	6	466	291	248	173	61	145	228	0.244691636								
S16S2	-0.105311096	0.906042172	0.365507854	1.013796272	0.071076299	0.01423098	-70.55172414	-0.586909616	241	155	37	34	124	223	146	243	0.082965748								
S9S11	1.504187447	-4.605170186	0.090001103	0.100732312	0.201726409	0.088669951	-71.19950739	0.379380763	17	466	100	154	36	136	147	100	0.005375087								
S6S27	0.179612114	-4.605170186	0.010837198	0.150517848	0.095264818	0.14957265	-71.76719577	-0.130811312	133	466	201	139	105	92	148	172	0.026572813								
S14S26	-0.260209375	-1.97627752	-0.09856765	-0.09013542	-0.009733118	-0.15270936	-71.88965517	-1.037812722	278	379	351	258	212	376	149	314	1								
S2S10	0.310403158	-1.602297131	-0.11159067	-0.204177115	-0.026865515	0.18131257	-72.55268817	-0.141762669	99	350	361	303	241	70	150	175	0.891875847								
S17S16	0.095601938	-1.143658269	0.39023809	1.113624738	0.197557323	0.030049261	-72.60689655	0.275037982	150	297	29	25	38	208	151	115	0.032631813								
S2S16	0.194460094	-1.542286103	-0.06111751	0.015330016	-0.030985495	0.090147783	-72.70344828	0.258660045	127	344	311	198	248	134	152	117	0.36460576								
S3S25	1.402725564	-1.288923511	-0.088068794	-0.157605299	-0.005059466	-0.001094691	-73.00492611	0.286662319	31	312	339	287	207	238	153	114	0.611588599								
S2S9	0.316153294	-1.435478311	-0.063860328	-0.057312987	0.068543393	0.302335929	-73.15913978	0.37768471	98	333	317	239	127	26	154	101	0.408899674								
S5S16	0.070290268	-2.480296086	0.151477036	0.206175172	0.042080307	0.225615764	-73.36091954	-0.165370625	157	411	71	121	150	48	155	176	0.011976701								
S16S21	0.029681648	2.285071245	-0.337147041	-0.980271096	-0.099567553	-0.017130145	-73.45806452	-0.35211558	175	54	423	432	326	254	156	207	1								
S17	0.263995167	-0.88709872	-0.332947445	-0.957090639	0.016338699	0.04029304	-73.85449735	0.463123188	109	269	419	426	183	190.5	157	90	0.947510564								
